Lot Title,Lot Number,Lot Description,Image Name ,Minimum Bid,Reserve Bid,Bid Increment,Active
"PAR DE ARETES LARGOS EN ORO DE 14K, CON DIAMANTES.",1,"Hechura en  4 círculos de mayor a menor, con 64 diamantes, todos en corte completo, ligero color, con inclusiones, peso aproximado en conjunto 0.40 ct. 3.2 grs.",Lote1.jpg,2500," 1,000,000.00 ",200,1
"ANILLO EN ORO BLANCO 18K, CON 200 DIAMANTES MONTADOS EN PAVÉ.",2,"Diseño moderno, las gemas son color blanco comercial, con inclusiones, peso aproximado en conjunto 3.00 ct. 4.5 grs. Medida 6 ½.",Lote2.jpg,10500,1000000,1000,1
"PAR DE BROQUELES FIRMA TOUS, COLECCIÓN BEAR.",3,"En oro de 18K, 2.4 grs.",Lote3.jpg,2300,1000000,200,1
"RELOJ FENDI OROLOGI, CHRONÓGRAFO EN ACERO Y CHAPA.",4,"Carátula dorada, movimiento cuarzo, fechador a las 4:00 hrs. Diámetro 39 mm, número de serie 015-4500G-567, medida de extensible 17.5 cm.",Lote4.jpg,3500,1000000,200,1
PLUMA FUENTE MONTBLANC MEISTERSTUCK.,5," Resina negra con emblema de estrella incrustada, clip de metal en baño platinado, plumín en oro de 14K con detalles de baño en rodio. Número de serie PR2746XXX. Depósito original recargable. CON ESTUCHE.",Lote5.jpg,2300,1000000,200,1
"RELOJ UNISEX VERSACE DAPHNIS, EN ACERO DORADO Y PIEL.",6,"Carátula negra y bisel con estampado diseño greca, con señaladores dorados, caja estriada, diámetro 35 mm, movimiento cuarzo, referencia V16, número de serie 091705110XXX. Medida de extensible 15 cm, muestra uso, cierre doble desplegable oculto.",Lote6.jpg,3500,1000000,200,1
PAR DE ARETES FIRMA C'EST LAUDIER EN ORO  DE 18K CON DIAMANTES.,7,"Diseño elegante con elefantes incrustados con 5 diamantes cada uno, en corte completo, blanco comercial y limpios, peso aproximado en conjunto  0.06 cts. 14.4 grs.",Lote7.jpg,12000,1000000,1000,1
"PAR DE ARRADACAS FIRMA GIORGIO VISCONTI EN ORO DE 18K, CON 22 DIAMANTES.",8,"Diseño filigrana resaltando los diamantes en fila, en corte completo, blanco comercial, casi limpios, peso aproximado en conjunto 0.90 cts. 13.4 grs.",Lote8.jpg,14000,1000000,1000,1
"COLLAR EN DOS HILOS Y DIJE FIRMA GIORGIO VISCONTI EN ORO ROSA DE 18K, CON DIAMANTES. ",9,"Dije hechura abierta, semejando hojas, resaltando el diamante de 0.15 ct.  Lo complementan 34 diamentes, todos en corte completo con peso aproximado en conjunto 0.65 cts, blanco comercial, casi limpios. 11.4 grs. Medida de collar 41 cm, medida de dije 5.7 cm.",Lote9.jpg,13000,1000000,1000,1
"PRENDEDOR VINTAGE FIRMA DANKNER AND SONS, EN ORO DE 14K.",10,"Motivo lagarto con textura 3D, con dos diamantes simulando los ojos, en corte completo, blanco comercial, casi limpios, peso aproximado en conjunto 0.04 cts. 18.7 grs. Medida 6 cm.",Lote10.jpg,15000,1000000,1000,1
