Lot Title,Lot Number,Lot Description,Image Name ,Minimum Bid,Reserve Bid,Bid Increment,Active
"COLLAR FIRMA *TIFFANY & Co.* COLECCIÓN ELSA PERETTI, EN PLATINO CON DIAMANTE.",1,"Adornado con gema biselada en corte completo, incoloro y limpio, peso aproximado 0.25 qts, serie 30921XXX, 42 cm de largo, 2.5 grs.",lote-01.jpg,5000,,1000,1
"ANILLO FIRMA *BVLGARI* COLECCIÓN B.ZERO 1, EN ORO BLANCO 18 QUILATES.",2,"Forma espiral de 3 bandas, serie F94XXX, 11.2 grs, medida #6 (51). ",lote-02.jpg,9000,,1000,1
"ANILLO EN ORO BLANCO DE 18 QUILATES, CON DIAMANTES Y ÓNIX.",3,"Diseño elegante resaltando el ónix con 71 brillantes intercalados en corte completo, blanco comercial y limpios, peso aproximado en conjunto 1.35 qts, 11.4 grs, medida #6.  ",lote-03.jpg,11000,,1000,1
COLLAR FIRMA *CARRERA Y CARRERA* EN ORO DE 18 QUILATES CON DIAMANTE.,4,"Motivo mano sosteniendo diamante en acabado mate, gema en corte completo, blanco comercial, limpio, peso aproximado 0.04 qts, contrastes de calidad, 50 cm de largo, 4.6 grs, broche diferente en oro rosa.",lote-04.jpg,4000,,1000,1
"ANILLO SOLITARIO EN ORO DE 14K, CON DIAMANTE CORTE COMPLETO CON PESO APROXIMADO DE 60 PUNTOS, COLOR L, CALIDAD VS1. ",5,"Diseño en cuatro uñas, 2.2 grs, medida #6.",lote-05.jpg,9000,,1000,1
PULSERA COMBINADA EN ORO Y ORO BLANCO DE 18 QUILATES CON DIAMANTES.,6,"Diseño moderno intercalando los 30 diamantes de corte completo, ligero color, con inclusiones, peso aproximado en conjunto 2.40 qts, 14.3 grs, medida 18 cm.",lote-06.jpg,20000,,1000,1
"PAR DE ARETES EN ORO BLANCO DE 14 QUILATES, CON 94 DIAMANTES.",7,"Todos los brillantes son en corte completo, blanco comercial, casi limpios, peso aproximado en conjunto 0.45 tqs, 5.8 grs.",lote-07.jpg,5000,,1000,1
PAR DE ARETES EN ORO BLANCO DE 18 QUILATES CON 188 DIAMANTES BLANCO COMERCIAL Y CASI LIMPIOS.,8,"Diseño elegante y moderno, el total de las gemas son un peso aproximado en conjunto de 1.00 qt, 8.3 grs.",lote-08.jpg,9500,,1000,1
"PAR DE ARETES DE CORAZÓN EN ORO BLANCO DE 18 QUILATES, CON DIAMANTES.",9,"Resaltando seis brillantes móviles, el resto son 124, todos en corte completo, ligero color, con ligeras inclusiones, peso aproximado en conjunto 2.0 qts, 11.1 grs.",lote-09.jpg,10500,,1000,1
"RELOJ *CARTIER* BALLON BLEU, EN ORO ROSA DE 42 MM DE DIÁMETRO.",10,"Carátula plateada con números romanos, manecillas azul acero en forma de espada, corona acanalada con cabujón de zafiro. Referencia 2999, movimiento  automático, serie 9727XXX, fechador a las 3:00 hrs, extensible pulido con medida de 14 cm.",lote-10.jpg,250000,,1000,1
"RELOJ PARA DAMA *FENDI* CRAZY CARATS, EN ACERO CON 92 DIAMANTES Y  SWAROVSKIS.",11,"Carátula con tres cambios de vista, movimiento cuarzo, referencia 002-10500L-061, diámetro 33 mm, medida de pulso 16cm.",lote-11.jpg,11000,,1000,1
"ANILLO ORO BLANCO DE 14 QUILATES, CON DIAMANTE PRINCIPAL CORTE COMPLETO DE 1.75 QTS APROXIMADO, COLOR K-L, CALIDAD SI3.",12,"En los laterales son 24 diamantes del mismo corte, ligero color, con inclusiones, peso aproximado en conjunto 0.24 qts, 3.0 grs, medida #5½.",lote-12.jpg,50000,,1000,1
PULSERA EN ORO BLANCO DE 14 QUILATES CON 88 DIAMANTES CORTE PRINCESA.,13,"Las gemas con ligero color con inclusiones tienen un peso aproximado en conjunto de 1.30 qts,  8.7 grs, medida 18 cm.",lote-13.jpg,8000,,1000,1
"RELOJ *LOUIS VUITTON* TAMBOUR GMT, EN ACERO Y CAUCHO.",14,"Carátula negra, movimiento automático, fechador a las 3:00 hrs, referencia Q113K, serie SD3612, 41 mm de diámetro, medida de pulso 18 cm.",lote-14.jpg,17000,,1000,1
RELOJ *BVLGARI-BVLAGRI* CARBONGOLD BB 40 CL.,15,"Caja de carbono con corona y señaladores  en oro de 18 qts, esfera negra con tapa de esqueleto, movimiento automático, calibre A 10-2, serie PO3XXX, 40 mm de diámetro, pulso en piel entrelazado  de color negro, medida 15 cm.",lote-15.jpg,14000,,1000,1
"RELOJ *TAG HEUER* FORMULA 1, CALIBRE 5, EN ACERO Y CERÁMICA DE 43 MM DE DIÁMETRO.",16,"Carátula gris oscuro, movimiento automático, referencia WAZ2XXX, bisel de cerámica unidireccional, fechador a las 3:00 hrs, indicadores y manecillas luminiscentes, serie RQT0XXX, medida de pulso 18 cm. CON ESTUCHE.",lote-16.jpg,14000,,1000,1
