Lot Title,Lot Number,Lot Description,Image Name ,Minimum Bid,Reserve Bid,Bid Increment,Active
"RELOJ MONTBLANC MEISTERSTUCK, EN ACERO Y PIEL CAFÉ.",1,"Carátula plata con números romanos, referencia 7042, movimiento cuarzo, diámetro 36 mm, fechador a las 3:00 hrs, número de serie PL302XXX, corona de cebolla. No incluye estuche.",Lote1.jpeg,9000,360000,500,1
"RELOJ BELL & ROSS BR02, EN ACERO PVD Y CAUCHO NEGRO. ",2,"Carátula negra, movimiento automático, referencia BR02-20-S-05271, diámetro 44 x 47 mm, fechador a las 4:30 hrs. No incluye estuche.",Lote2.jpeg,16000,640000,500,1
"RELOJ PARA DAMA CHOPARD HAPPY SPORTS, EN ACERO Y PIEL AZUL CON 7 DIAMANTES FLOTANTES.",3,"Carátula gris con número romanos, referencia 27/8349-23, maquinaria cuarzo. Diámetro 27 x 27 mm, fechador a las 6:00 hrs, número de serie 714XXX, no incluye estuche.",Lote3.jpeg,24000,960000,500,1
"RELOJ BVLGARI DIAGONO, EN ALUMINIO Y CAUCHO.",4,"Carátula plateada, movimiento automático, referencia AL 38 TA, diámetro 38 mm, fechador a las 3:00 hrs, número de serie L41107. No incluye estuche.",Lote4.jpeg,15000,600000,500,1
"RELOJ PARA DAMA CARTIER SANTOS GALBEE, EN ACERO. ",5,"Carátula plata con números romanos, manecillas color azul acero, referencia 1565, movimiento cuarzo, diámetro 23 x 35 mm, número de serie 203505SX. No incluye estuche.",Lote5.jpeg,18000,720000,500,1
"RELOJ TAG HEUER CARRERA  TWIN-TIME, CALIBRE 7, EN ACERO.",6,"Carátula negra con manecillas luminiscentes, tapa de esqueleto, referencia WAR2010-0, movimiento automático, calibre base original, diámetro 41 mm, fechador a las 3:00 hrs, número de serie RMM5XXX. Medida de extensible 15.5 cm.No incluye estuche.",Lote6.jpeg,14000,560000,500,1
"RELOJ ""CARTIER SANTOS GALBEE"" EN ACERO Y ORO.",7,"Carátula beige con números romanos, manecillas color azul acero, referencia 187901, movimiento cuarzo, diámetro 29 x 41 mm, fechador a las 6:00 hrs, número de serie 15903, zafiro con detalle. No incluye estuche.",Lote7.jpeg,28000,1120000,500,1
"RELOJ PARA DAMA CARTIER 21 CHRONOSCAPH, EN ACERO Y CACUHO NEGRO.",8,"Carátula negra con manecillas luminiscentes, referencia 2996, movimiento cuarzo, diámetro 32 mm, fechador a las 4:00 hrs, número de serie 72554XXX. No incluye estuche.",Lote8.jpeg,15000,600000,500,1
"RELOJ BVLGARI COLECCIÓN B.ZERO 1, EN ACERO Y CAUCHO.",9,"Carátula plata con estampado en corazones, referencia BZ 35 S, movimiento cuarzo, diámetro 35 mm, número de serie D3XXX. No incluye estuche.",Lote9.jpeg,10000,400000,500,1
"RELOJ PARA DAMA CARTIER ROADSTER, EN ACERO.",10,"Carátula rosa, referencia 2675, movimiento cuarzo, diámetro 31 x 37 mm, número de serie 63958XXX. No incluye estuche.",Lote10.jpeg,25000,1000000,500,1
"BRAZALETE FIRMA TIFFANY & Co. COLECCIÓN ""T"", CON DIAMANTES.",11,"Oro de 18 quilates, presenta contrastes de fima de calidad, 18 diamntes en corte redondo, blancos y limpios, peso aproximado en conjunto 0.22 ct. 7.6 grs. Se ajusta a muñecas de hasta 17 cm.",Lote11.jpeg,10000,400000,500,1
"ANILLO FIRMA BVLGARI COLECCIÓN B.ZERO 1, EN ORO DE 18 QUILATES.",12,"Forma espiral de 3 bandas, 12.6 gramos, medida #8 ½ (61). ",Lote12.jpeg,12000,480000,500,1
PENDIENTES FIRMA CARTIER COLECCIÓN LOVE.,13,"Oro de 18 quilates, contrastes y número de serie EN3XXX, diámetro 10 mm. 3.7 grs.  ",Lote13.jpeg,8000,320000,500,1
PAR DE BROQUELES FIRMA TOUS COLECCIÓN BEAR.,14,En oro 18k con perlas 2.7 grs.,Lote14.jpeg,1500,60000,500,1
ANILLO FIRMA TOUS COLECCIÓN PUPPIES.,15,"Oro de 18 quilates, 5.1 grs. Medida 6½.",Lote15.jpeg,5500,220000,500,1
"COLLAR FIRMA TIFFANY & Co. COLECCIÓN CÍRCULOS COLGANTES, ORO 18 QUILATES Y PLATA.",16,"Presenta contrastes  de firma de calidad, combinación en plata y oro, gramos totales 6.6. Medida 39 cm.",Lote16.jpeg,2600,104000,500,1
"CADENA Y DIJE EN ORO DE 14 QUILATES, CON DIAMANTE DE 85 PUNTOS, CON LIGERO COLOR, CON INCLUSIONES.",17,"Montado a manera de ""Solitario"" en 4 uñas, 3.1 grs. Medida 42 cm.",Lote17.jpeg,16000,640000,500,1
"CADENA Y CRUZ  EN ORO BLANCO DE 14 QUILATES, CON 101 DIAMANTES.",18,"En corte baguette y redondo, blanco comercial, ligeras inclusiones, peso aproximado en conjunto 0.90 ct. 8.8 grs. Medida 40 cm.",Lote18.jpeg,7000,280000,500,1
"PAR DE ARETES EN ORO BLANCO DE 14 QUILATES, CON 128 DIAMANTES.",19,"Diseño en cuadro, el conjunto de las gemas es un total de 0.70 ct. aproximado, ligero color con inclusiones, 3.8 grs.",Lote19.jpeg,5000,200000,500,1
"CADENA CON PENDIENTE TOUS ORO BLANCO 18K COLECCIÓN KINGS, CON TOPACIO Y 3 DIAMANTES ",20,"De color azul cielo y  talla briolette, montado engarzado y tres diamantes de corte completo, blancos casi limpios p.a. 0.04 ct. 3 grs. ",Lote20.jpeg,2000,80000,500,1
"PAR DE ARTES TOUS ORO BLANCO 18K COLECCIÓN KINGS, CON DOS TOPACIOS Y 3 DIAMANTES ",21,"Las dos gemas en talla briolette, con montadura engarzada y dos diamantes de corte completo, blancos casi limpios de medio punto cada uno, 2.7 grs.",Lote21.jpg,1200,48000,500,1
ROSARIO TIFFANY ORO 18 QUILATES Y PERLAS.,22,"De la colección  Elsa Peretti, España, con 59 perlas cultivadas de buen oriente, dámetro 3mm,  9.0 grs",Lote22.jpg,9000,360000,500,1
ANILLO PARA DAM EN DISEÑO AMERICANO ORO BLANCO 14K 63 DIAMANTES Y 2 ZAFIROS,23,"Diamante central en corte princesa color H, claridad SI2, dos en corte esmeralda, 60 restantes en corte completo, ligero color, ligeras inclusiones, peso aproximado en conjunto 1.68 ct. 4.0 grs. Contraste y firma. Medida #6 ¾.",Lote23.jpeg,8000,320000,500,1
"ANILLO PARA DAMA TIPO MEDIA CHURUMBELA DE DOBLE HILERA, ORO BLANCO 14K CON 13 ZAFIROS Y DIAMANTES",24,"Manufactura reciente, resaltando el corte gota de los zafiros (calidad de color australianos), peso aprox. De 2.00 ct, y 182 brillantes corte 8x8, colo j-k, claridad VS y SI, pesos aprox.0.95 ct,  4.5 grs. Medida 8 ½.",Lote24.jpeg,5500,220000,500,1
"RELOJ BREITLING CHRONOMAT EVOLUTION, EN ACERO CON 40 DIAMANTES.",25,"Caratula negra con señaladores y manecillas luminiscentes, referencia A13356, maquinaria automática, diámetro 44 mm, fechador a las 3:00 hrs, número de serie 2214XXX, medida de extensible 18 cm. No incluye estuche.",Lote25.jpeg,36000,1440000,500,1
"RELOJ PARA DAMA CORUM ADMIRAL´S CUP, EN ACERO Y CAUCHO BLANCO.",26,"Versión Legend carátula en madre perla, señaladores con banderas, referencia 01.0140, maquinaria automática, tapa de esqueleto, diámetro 32 mm, número de serie 2358XXX,  Con estuche.",Lote26.jpeg,18000,720000,500,1
RELOJ ROLEX EXPLORER TODO ACERO CARÁTULA NEGRA.,27,"Referencia 214270, con indicadores de barras, diametro 39 mm, alternando números arabigos a las 3,6 y 9. Serie número 7D6814L1, su maquinaria automatica calibre suizo original, pulso oyster con referencia 77200, medida 16 cm. Sin estuche  ",Lote27.jpeg,75000,3000000,500,1
"RELOJ PARA DAMA ROLEX O.P. DATEJUST, TODO ACERO.",28,"Carátula concéntrica con números árabes, bisel liso, referencia 178240, maquinaria automática, diámetro 31 mm, fechador a las 3:00 hrs, número de serie M275XXX, medida de extensible 15 cm. Con estuche, no incluye papeles.",Lote28.jpeg,65000,2600000,500,1
"RELOJ ROLEX O.P.D. SUBMARINER 50 ANIVERSARIO ""KERMIT"" EN ACERO. ",29,"Carátula negra, bisel verde, referencia 16610T, serie V489XXX, maquinaria automática, diámetro 40 mm, fechador a las 3 hrs, medida de extensible 16 cm, no incluye estuche ni papeles.",Lote29.jpeg,100000,4000000,500,1
"SMARTWATCH HUAWEI GT, MODELO: FTN-B19.",30,"Acero inoxidable negro, correa de silicona negro grafito, EN CAJA.",Lote30.jpeg,2000,80000,500,1
