Lot Title	Lot Number	Lot Description	Image Name 	Minimum Bid	Reserve Bid	Bid Increment	Active
Prueba 1	1	Prueba		100	10000	50	0
NINTENDO SWITCH LITE	1	"Nintendo switch lite, en su caja original y cargador."	Lote1.jpg	1500	10000	100	1
TABLET SAMSUNG	2	"Tablet samsung galaxy tab a, memoria de 32 gb, 2gb de ram, cámara trasera de 8mp y frontal de 2 mp, pantalla de 8"", procesador quad core de 64 bit, modelo sm-t290."	Lote2.jpg	2000	10000	100	1
VIDEOJUEGO ATARI	3	"Atari classic game consola flashback 8 (40th aniversario), edición gold, con 120 juegos cargados."	Lote3.jpg	300	15000	100	1
IPAD 6TA GENERACIÓN	4	"Ipad 6ta generación, 32 gb, con caja y cargador, color rosa, pantalla blanca de 9.7"", modelo A1493."	Lote4.jpg	3500	20000	100	1
KIT DE 2 TALADROS INALÁMBRICOS	5	"Kit de dos traladros inalámbricos marca dewalt, 1 cargador y 2 baterias de lithium ion de 20v max, modelo dcf885 y dcd785."	Lote5.jpg	1200	20000	100	1
BOCINA BLUETOOTH KLIPSCH	6	"Bocina bluetooth y auxiliar, duración de la bateria 8 hrs."	Lote6.jpg	1500	15000	100	1
BOLÍGARFO SHEAFFER COLECCIÓN TARGA.	7	En resina negra con detalles cromados.	Lote7.jpg	300	10000	100	1
ELECTROSIERRA INALÁMBRICA 18V	8	"Electrosierra recargable 18v, en caja, con cargador y 2 pilas de litio ion.  "	Lote8.jpg	800	10000	100	1
CAMARA FOTOGRÁFICA NIKON	9	"Camara fotográfica profesional, marca nikon, modelo d3300, lente de 18-55mm, en caja con cargador."	Lote9.jpg	2500	25000	100	1
PLAY STATION 4	10	"Consola play station 4 pro, control, cables y juego ""evolve""."	Lote10.jpg	2000	15000	100	1
Cuadro Apac 1	10	Cuadro		100	20000	100	0
PROYECTOR ACER	11	"Proyector acer de 3600 lumenes con resolución svga, entradas de vga, hdmi y auxiliar 3.5mm."	Lote11.jpg	1000	15000	100	1
RELOJ INTELIGENTE/SMARTWATCH SAMSUNG	12	"Reloj inteligente/smartwatch samsung active, bluetooth, wifi, gps, sistema operativo android 5.0, memoria ram de 1.5 gb (modelo smr500)"	Lote12.jpg	1500	20000	100	1
SOLDADORA INVERTER VOLT	13	"Soldadora inversor 110-120v,20 - 110amp, incluye: cables, pinza tierra, porta electrodo y careta tipo paleta, nueva con garantia de 1 año."	Lote13.jpg	800	20000	100	1
TABLET HUAWEI	14	"Tablet huawei mediapad t3, pantalla de 10"", color gris, memoria ram de 2gb, con caja y cargador."	Lote14.jpg	1500	20000	100	1
"TELEVISOR JVC 43"""	15	"Pantalla jvc, de 43"" ,full hd, smart tv, modelo si43fs."	Lote15.jpg	2000	20000	100	1
KIT DE 2 TALADROS INALÁMBRICOS	16	"Kit de dos traladros inalámbricos marca dewalt, 1 cargador y 2 baterias de lithium ion de 20v max, modelo dcf885 y dcd785."	Lote16.jpg	1200	20000	100	1
HIDROLAVADORA SURTEK	17	"Hidrolavadora eléctrica 1750 w, caudal de 5.5 litros por minuto, presión máxima de 1800 psi."	Lote17.jpg	1500	20000	100	1
SOLDADORA INVERTER AXTECH	18	"Soldadora inversor 110-120v, 10 - 120amp, incluye: cables, pinza tierra, pinza porta electrodo y careta tipo paleta."	Lote18.jpg	1000	20000	100	1
NINTENDO SWITCH LITE	19	"Nintendo switch lite, en su caja original y cargador."	Lote19.jpg	1500	20000	100	1
IPHONE XS	20	"Celular iPhone xs de 256 gb, con caja, audifonos y cargador."	Lote20.jpg	4000	30000	100	1
Beca Apac 1	20	Cuadro		1000	100000	500	0
PLAY STATION 4	21	"Consola play station 4 en caja, control, cables y juego ""fifa 19""."	Lote21.jpg	2000	15000	100	1
"TELEVISOR HISENSE 50"" SMART TV"	22	"Pantalla de 50"", led, smart tv, 4K, H6 series, ultra HD, con control, en caja."	Lote22.jpg	2000	15000	100	1
"TELEVISOR HISENSE 40"""	23	"Televisor hisense 40"" serie 4, en caja, full HD smart tv, control original y roku tv incluido."	Lote23.jpg	2000	15000	100	1
IPAD PRO 2DA GENERACIÓN	24	"Ipad pro 2da generación, 128 gb, wifi + celular, pantalla de 11 pulgadas, modelo A2068, en caja con cargador."	Lote24.jpg	4000	30000	100	1
MACBOOK AIR	25	"Computadora macbook air, procesador intel core i5, 128 gb (disco duro estado solido), pantalla 13"", modelo mwd32/a (2017)"	Lote25.jpg	5000	40000	100	1
							
							
