Lot Title,Lot Number,Lot Description,Event,Image Name ,  Minimum Bid  , Reserve Bid , Limit bid ,Bid Increment,Active
PRUEBA,1,,20,,100,500000,500000,100,0
LINGOTE DE PLATA BRITANNIA 10 ONZAS.,1,"Ley 0.999, al anverso la Diosa Britania sosteniendo un tridente, al reverso sello de la casa de monedas Real, peso 311.0 grs.",20,Lote1.jpg,5000,500000,500000,200,1
"CRUZ CON 64 DIAMANTES, EN ORO BLANCO DE 18K.",2,"Diseño americano, con 30 diamantes en corte baguette, 34 en corte completo, color H, I, claridad VS, peso aprox. en conjunto 0.90 Qte, medida 3 cm, peso 4.6 grs. ",20,Lote2.jpg,5500,500000,500000,500,1
"PULSERA EN ORO BLANCO DE 10 K, CON 55 DIAMANTES.",3,"Tipo tenis, diamantes en corte completo, color J, claridad  SI-I, peso aproximado en conjunto 1.10 Qtes, medida 18.5 cm, peso 10.2 grs. ",20,Lote3.jpg,9000,500000,500000,500,1
"ANILLO CON CITRINO Y DIAMANTES, EN ORO DE 14K.",4,"La gema principal en corte cojín, peso aprox. 7.0 Qtes. con 64 diamantes en corte completo, color  H, claridad VS, peso aprox. en conjunto 0.32 Qte, medida 7, peso 6.2 grs. ",20,Lote4.jpg,5500,500000,500000,500,1
"PAR DE ARETES CON ZAFIROS Y DIAMANTES, EN ORO DE 14K. ",5,"Diseño escalonado, con 8 zafiros de buen color, peso aprox. en conjunto 0.48 Qte y 6 diamantes en corte completo, color J, claridad I, peso aprox. en conjunto 0.18 Qte, medida 2 cm, peso 4.9 grs. ",20,Lote5.jpg,4600,500000,500000,200,1
MEDALLA CONMEMMORATIVA A PAPA JUAN PABLO I.,6, En plata vermeil-24k. En acrílico y certificado. Con manchas de antigüedad. Año 1978.,20,Lote6.jpg,1100,500000,500000,100,1
"MONEDA DOS ONZAS DE PLATA “CENTENARIO DE LA REVOLUCIÓN MEXICANA 1910-2010, FERROCARRIL”.",7," Ley 0.999, acabado espejo, valor nominal de $10 pesos, ligeramente manchada, peso 62.20 grs.",20,Lote7.jpg,1200,500000,500000,100,1
"CRÉDITO SUIZO 5 GRAMOS, ORO PURO (.999), EN BISEL DE 14K.",8,"Seriado, ligeramente manchado, peso total 6.4 grs. ",20,Lote8.jpg,7500,500000,500000,500,1
JUEGO DE ARETES Y ANILLO VINTAGE EN PLATA PALADIO CON PERLAS Y DIAMANTES.,9,"Diseño de los 70´s con gemas del buen oriente, color crema, tipo akoya, media 9 mm c/u,  con 68 diamantes corte 8x8, color H, I, claridad VS-SI, peso aprox. en conjunto 0.84 Qte, medida anillo 6, largo de los aretes 4 cm, peso total 17.4 grs. ",20,Lote9.jpg,12000,500000,500000,1000,1
8 MEDALLAS LAS FLORES DE LOS ESTADOS DE MÉXICO COLECCIÓN DE PLATOS EN MINIATURA.,10,"Una sin descripción impresa, con manchas de antigüedad. Peso 4.3 grs c/u. Estuche de Los Tesoros de Arte de la Antigua Grecia",20,Lote10.jpg,1400,500000,500000,100,1
3 MEDALLAS DE FRANKLIN MINT DE MÉXICO.,11,"Con certificado, peso de 6 grs c/u.",20,Lote11.jpg,1800,500000,500000,100,1
COLECCIÓN DE 32 MEDALLAS DE LOS ESTADOS DE LA REPÚBLICA MEXICANA.,12,En vermeil-oro de 24k calidad Proof. Con estuche de madera y certificado de autenticidad. Manchas por antigüedad. Peso total 439 grs. Año 1978.,20,Lote12.jpg,5500,500000,500000,500,1
"PAR DE ARETES EN MARFIL Y CON 2 ESMERALDAS, EN ORO DE 18K.",13,"Diseño circular con marfil, con doble bisel, al centro resaltando esmeralda, una de ellas con fracturas, diámetro 18 mm, peso 6.8 grs. ",20,Lote13.jpg,2800,500000,500000,200,1
"PULSERA RÍGIDA CON ESFERAS DE ORO DE 18K, CON DIAMANTES.",14,"Diseño en forma oval, con 8 diamantes montados en boquilla y pavé, en corte completo, color I, claridad SI, peso aprox. en conjunto 0.24 Qte, media 18 cm, peso 8.0 grs. ",20,Lote14.jpg,12000,500000,500000,1000,1
"PULSERA FLEXIBLE, EN ORO DE 18K.",15,"Diseño filigrana, facetado, con 5 dijes dobles simulando flor, peso 10.7 grs, medida 17cm. ",20,Lote15.jpg,12000,500000,500000,1000,1
BECA,15,,20,,5000,500000,500000,200,0
"PAR DE ARETES CON 260 DIAMANTES, EN ORO ROSA DE 18K.",16,"Diseño largo estilo trepador  con círculos de menor a mayor y broche de presión, diamantes, en corte completo, color I, claridad VS, peso aprox. en conjunto 1.30 Qtes, medida 3.5 cm de largo, peso 8.4 grs. ",20,Lote16.jpg,10000,500000,500000,500,1
"MONEDA ONZA DE PLATA LEY 0.999, DE UN DÓLAR TUVALU CASA DE MONEDA PERTH, AUSTRALIA.",17,"La Serie Marvel Deadpool , Año 2018, ley 0.999, anverso con imagen de la Reyna Isabel II, Peso 31.1 grs.",20,Lote17.jpg,700,500000,500000,100,1
ESTUCHE DE MONEDAS LIBERTAD COLECCIÓN 2007,18,"Ley 0.999, Set emitido por el banco de México, incluye 5 monedas de colección libertad, contiene 1 onza, 1/2   onza, 1/4 onza, 1/10 onza y 1/20 onza. En buen estado de conservación, en su estuche original ligeramente roto.",20,Lote18.jpg,1400,500000,500000,100,1
ANILLO CON DIAMANTES EN ORO BLANCO DE 14K.,19,"Estilo moderno, al centro circulo con 28 diamantes negros, franqueados en dos filas en forma de V, con 20 diamantes, todos en corte completo, color I, L, claridad VS, SI, peso aprox. en conjunto 0.96 Qte. Medida 7, peso 4.1 grs. ",20,Lote19.jpg,4000,500000,500000,200,1
DIJE VINTAGE ELEFANTE TALLADO EN MARFIL.,20,"Con aplicaciones de oro con gemas, zafiros, rubíes y esmeraldas de buen color, con rubí simulando el ojo, peso total 46.0 grs, medida 6 cm de alto por 4.5 cm de ancho. ",20,Lote20.jpg,5000,500000,500000,200,1
"PENDIENTE ITALIANO EN ORO DE 18K, CON CAMAFEO DE CALCEDONIA AZUL BLANCO.",21,"Versión mini, motivo jasper con perfil femenino, medida 2X1.4 cm, peso 3 grs.",20,Lote21.jpg,1600,500000,500000,100,1
"MEDIA CHURUMBELA, CON RUBIES Y DIAMANTES, EN ORO DE14K.",22,"Con 4 rubíes y 3 diamantes alternados, todos en corte completo, los rubíes de buen color, peso aprox. en conjunto 0.30 Qte,  los diamantes en color I, claridad VS, peso aprox. en conjunto 0.18 Qte, contraste B.H, medida 7, peso 2.8 grs. ",20,Lote22.jpg,2600,500000,500000,200,1
"ESCLAVA FLEXIBLE, EN ORO 21K.",23,"Del medio orente, tejida en una sola pieza, al centro resaltando el esmalte a manera de flor de loto, medida 20 cm, peso 12 grs, ",20,Lote23.jpg,12000,500000,500000,1000,1
GARGANTILLA EN ORO 18K. ,24,"Diseño moderno, con dije simulando rehilete grabado, alternando alrededor bolitas y barrilitos, medida 44 cm, peso 7.1 grs. ",20,Lote24.jpg,8000,500000,500000,500,1
"PAR DE ARETES EN ORO BLANCO DE 14K, CON 96 DIAMANTES.",25,"Diseño elegante americano, en forma rectangular al centro un círculo, con 7 pendientes con terminación en corazones, con diamantes en corte completo, color H, claridad SI, peso aprox. en conjunto 0.48Qte. Medida 5cm, peso 9.0 grs. ",20,Lote25.jpg,11000,500000,500000,1000,1
"PRENDEDOR ITALIANO ORO DE 14K, CON CAMAFEO DE CARACOL TALLADO.",26,"Origen Vintage, clásico perfil femenino, la gema aplicada a manera de pendiente en cuello con diamante de 0.01 Qte, firma Napolitana APA, medida 3 x 3 cm, peso 6.1 grs. Convertible en pendiente. ",20,Lote26.jpg,3600,500000,500000,200,1
JUEGO DE 8 MONEDAS DE 1978 DE LAS FILIPINAS.,27,Con estuche y certificado.,20,Lote27.jpg,2800,500000,500000,200,1
"2 MONEDAS CONMEMORATIVAS CAMPEONATO MUNDIAL DE FUTBOL MÉXICO 86, 50 Y 100 PESOS, LEY .720.",28,"Moneda Conmemorativa Campeonato Mundial de Futbol Mexico 86, 100 pesos, Ley .0720.  Con manchas de antigüedad. La presentación rota, Año 1985. peso 17.7 grs",20,Lote28.jpg,700,500000,500000,100,1
"COLECCIÓN DE 12 MEDALLAS EL ORO DE EL DORADO, EDICIÓN LIMITADA POR EL MUSEO DEL ORO DE BOGOTÁ.",29,Plata Sterling 24k. Con certificado. Manchas por antigüedad. Marco de madera. Año 1979. peso 32 grs c/u aprox.,20,Lote29.jpg,7500,500000,500000,500,1
COLECCIÓN DE 25 MEDALLAS HISTORIA DE LA REVOLUCIÓN MEXICANA.,30,Medallas en vermeil-oro de 24k. Con estuche y certificado. Manchas por antigüedad.,20,Lote30.jpg,6500,500000,500000,500,1
BECA,30,,20,,5000,500000,500000,200,0
"DIJE CRUZ CON 139  DIAMANTES, EN ORO ROSA 14K.",31,"Diseño calado, con 84 diamantes corte completo, 55 corte baguett, color J, K, claridad VS, peso aprox. en conjunto 1.39 Qtes, peso 9 grs, medida 5 cm. ",20,Lote31.jpg,9000,500000,500000,500,1
"ANILLO FIRMA VAN CLEEF& ARPELS (VCA), EN ORO ROSA 18K. ",32,"Colección perlée, con perlas de oro, contraste propio de la firma, seriado, medida 7, peso 5.3 grs. ",20,Lote32.jpg,6500,500000,500000,500,1
