Lot Title,Lot Number,Lot Description,Event,Image Name ,  Minimum Bid  , Reserve Bid , Limit bid ,Bid Increment,Active
MANUALIDAD DE APAC.,1,"Pintura en marco de madera, medida 22 x 15 cm.",18,,100,500000,500000,100,1
"MONEDA DOS ONZAS DE PLATA “CENTENARIO DE LA REVOLUCIÓN MEXICANA 1910-2010,   FERROCARRIL”.",1," Ley 0.999, acabado espejo, valor nominal de $10 pesos, ligeramente manchada, peso 62.20 grs. En capsula.",18,Lote1.jpg,1300,500000,500000,100,1
"MONEDA PLATA, 1 ONZA LIBERTY, DOLLAR ESTADOUNIDENSE, AÑO 2001.",2,"Ley 0.999, acabado espejo y satín, anverso libertad, reverso águila heráldico con escudo, canto estriado, en buen estado, peso 31.30 grs, en capsula, estuche y certificado.",18,Lote2.jpg,1000,500000,500000,100,1
"DOS ONZAS DE PLATA, AÑO 2005 Y 2016, PLATA PURA, LEY 0.999.",3,"En cápsula, acabado satín, ligeramente manchada, peso individual 31.1 grs.",18,Lote3.jpg,800,500000,500000,100,1
"GARGANTILLA EN ORO DE 14,  CON DIAMANTE CORTE COMPLETO DE 0.20 PUNTOS, COLOR K, CLARIDAD VS.",4,"Diseño en eslabones, diamante montado bisel en dije en oro y oro blanco, medida 40 cm, peso 2.8 grs.",18,Lote4.jpg,2800,500000,500000,200,1
"BROQUELES CON DOS AGUAMARINAS COMO GEMA PRINCIPAL, TALLA OVAL, PESO APROX. EN CONJUNTO 4.5 QTES. LIGERAMENTE LAZCADOS, Y 48 DIAMANTES, EN ORO BLANCO DE 14K.",5,"Montado en 4 uñas, con bisel de diamantes en corte completo, Color I, Claridad VS, peso aprox, en conjunto 0.24 Qte. Peso 4.0 grs.",18,Lote5.jpg,3500,500000,500000,200,1
"PULSERA SEMIABIERTA, EN ORO DE 18K, CON UN DIAMANTE.",6,"Diamante corte cuadrado, Color J, Claridad VS, peso aprox. 0.08 Qte, medida 20 cm, peso 9.4 grs.",18,Lote6.jpg,7000,500000,500000,500,1
"RELOJ FREDERIQUE CONSTANT CLASSICS, MOV. CUARZO, ACERO Y PIEL.",7,"Ref. FC200, diámetro 36 mm, carátula grabada color plata, números romanos, con manecillas tipo breguet, fechador a las 3:00 hrs, segundero subsidiario, serie 2042XXX, medida de ext. 18.5 cm, broche de hebilla.",18,Lote7.jpg,5500,500000,500000,500,1
"RELOJ DE BOLSILLO ELGIN TIPO FERROCARRILERO, ACERO CHAPEADO, CUERDA MANUAL, AÑO 1940.",8,"Clásico de carátula abierta (open face), con palanca de ajuste oculta tipo reglamentario, maquinaria 19 joyas, seriada, carátula números arábigos y segundero subsidiario, caja 16s (41.3 mm) con tapa grabada con el escudo del Sindicato Ferrocarrilero de México, seriado 5044XXX, cuenta con leontina metal diferente y reciente.",18,Lote8.jpg,1600,500000,500000,100,1
CRUCIFIJO EN ORO Y ORO BLANCO DE 14K. ,9,"Diseño italiano, cristo en satín,  medida 5.5 cm, peso 13 grs.",18,Lote9.jpg,11000,500000,500000,1000,1
"MONEDA IMPERIO AUSTRO HÚNGARO, DE 4 DUCADOS, ORO LEY .9860 (23.6 k).",10,"En anverso la efigie del emperador Francisco I y en reverso el escudo del águila bicéfala, año 1915, peso 13.9 grs. Con ligeras marcas de conservación.",18,Lote10.jpg,15000,500000,500000,1000,1
"MONEDA CONMEMORATIVA CENTENARIO BATALLA DE PUEBLA, MÉXICO 1962.",11,"Ley .900 (21.6k), ligeramente rallada, peso 17.3 grs.",18,Lote11.jpg,18000,500000,500000,1000,1
"PAR DE COQUETAS CON DIAMANTES, EN ORO DE 14K. ",12,"Diseño en dos filas con 24 diamantes en corte completo, color H, claridad VVS, peso aprox. en conjunto 0.72 Qte, peso 4.8 grs.",18,Lote12.jpg,6000,500000,500000,500,1
"CADENA Y COLGANTE CON 3 DIAMANTES, EN ORO DE 14K.",13,"Diseño cadena tipo jaula, dije con diamantes en forma escalonada, en corte princesa, Color J, Claridad VS,  peso aprox. en conjunto 0.18 Qte. Medida 42 cm, peso 1.8 grs.",18,Lote13.jpg,2200,500000,500000,200,1
"ANILLO VINTAGE, CON DIAMANTES, EN ORO BLANCO DE 14K.",14,"Diseño semejando flor al centro, con hojitas a los lados, con 25 diamantes en corte 8x8, color I, claridad SI, peso aprox. en conjunto 0.34 Qte. Medida # 7, peso 3.30 grs.",18,Lote14.jpg,3400,500000,500000,200,1
"ANILLO CON CUARZO ROSA, TALLA COJIN BRIOLETTE EN ORO ROSA DE 14K.",15,"Montado en 4 uñas, medida # 8, peso 6.60 grs.",18,Lote15.jpg,3500,500000,500000,200,1
BECA,15,,18,,1000,500000,500000,1000,0
"ANILLO FIRMA CEI, CON TOPACIO Y 2 AGUAMARINAS, EN ORO BLANCO DE 14K.  ",16,"Diseño americano, resaltando topacio azul Londres en talla cojín briolette peso aprox. 3.Qtes. Dos aguamarinas flanqueadas talla trillón, peso aprox. 2.20 Qtes. Medida # 6 ½, peso 3.50 grs.",18,Lote16.jpg,2400,500000,500000,200,1
